Time,T_ref_C,T_meas_C,PWM_percent,error_C
4.7 sec,35,27.9060235438829,62.9701755550389,7.13363943518994
4.8 sec,35,27.9450217249937,62.7592813692979,7.09397645611709
4.9 sec,35,27.9833691275206,62.5531205945367,7.0549782750063
5 sec,35,28.0210794690203,62.3515908374086,7.01663087247939
5.1 sec,35,28.0581661717363,62.1545919133757,6.97892053097969
5.2 sec,35,28.0946423689672,61.9620257990715,6.94183382826367
5.3 sec,35,28.1305209112969,61.7737965856903,6.90535763103285
5.4 sec,35,28.1658143726919,61.5898104333826,6.86947908870306
5.5 sec,35,28.200535056465,61.4099755266328,6.83418562730813
5.6 sec,35,28.2346950011126,61.2342020306006,6.79946494353498
5.7 sec,35,28.2683059860243,61.0624020484033,6.7653049988874
5.8 sec,35,28.3013795370706,60.8944895793192,6.73169401397568
5.9 sec,35,28.3339269320693,60.730380477893,6.69862046292941
6 sec,35,28.3659592061344,60.5699924139226,6.66607306793075
6.1 sec,35,28.3974871569098,60.4132448333095,6.63404079386561
6.2 sec,35,28.4285213496896,60.2600589197526,6.60251284309021
6.3 sec,35,28.4590721224282,60.1103575572691,6.57147865031044
6.4 sec,35,28.489149590643,59.9640652935232,6.54092787757175
6.5 sec,35,28.5187636522099,59.8211083039456,6.51085040935701
6.6 sec,35,28.547923992057,59.6814143566273,6.48123634779011
6.7 sec,35,28.5766400867559,59.5449127779699,6.45207600794305
6.8 sec,35,28.6049212090146,59.4115344190774,6.42335991324414
6.9 sec,35,28.6327764320735,59.2812116228721,6.39507879098538
7 sec,35,28.6602146340058,59.1538781919203,6.36722356792655
7.1 sec,35,28.6872445019264,59.0294693569517,6.33978536599423
7.2 sec,35,28.7138745361093,58.9079217460575,6.31275549807357
7.3 sec,35,28.7401130540158,58.7891733545532,6.28612546389074
7.4 sec,35,28.7659681942369,58.673163515491,6.25988694598425
7.5 sec,35,28.7914479203499,58.5598328708085,6.23403180576313
7.6 sec,35,28.8165600246919,58.4491233430993,6.20855207965014
7.7 sec,35,28.8413121320523,58.3409781079926,6.1834399753081
7.8 sec,35,28.8657117032852,58.2353415671285,6.15868786794768
7.9 sec,35,28.8897660388442,58.1321593217161,6.13428829671479
8 sec,35,28.9134822822408,58.0313781466616,6.11023396115581
8.1 sec,35,28.9368674234285,57.9329459652551,6.0865177177592
8.2 sec,35,28.9599283021133,57.8368118244025,6.06313257657155
8.3 sec,35,28.9826716109938,57.742925870392,6.0400716978867
8.4 sec,35,29.0051038989303,57.6512393251832,6.01732838900621
8.5 sec,35,29.0272315740462,57.5617044632075,5.99489610106975
8.6 sec,35,29.0490609067629,57.474274588669,5.97276842595377
8.7 sec,35,29.0705980327678,57.3889040133346,5.95093909323715
8.8 sec,35,29.0918489559203,57.3055480348034,5.9294019672322
8.9 sec,35,29.1128195510932,57.224162915245,5.90815104407974
9 sec,35,29.1335155669542,57.1447058605953,5.88718044890683
9.1 sec,35,29.1539426286869,57.0671350002025,5.86648443304577
9.2 sec,35,29.1741062406527,56.9914093669109,5.8460573713131
9.3 sec,35,29.1940117889963,56.9174888775744,5.82589375934727
9.4 sec,35,29.2136645441939,56.8453343139909,5.8059882110037
9.5 sec,35,29.2330696635473,56.7749073042472,5.7863354558061
9.6 sec,35,29.2522321936238,56.7061703044667,5.76693033645268
9.7 sec,35,29.2711570726436,56.6390865809501,5.74776780637615
9.8 sec,35,29.2898491328155,56.5736201927021,5.72884292735637
9.9 sec,35,29.3083131026227,56.5097359743346,5.71015086718446
10 sec,35,29.3265536090586,56.4473995193381,5.69168689737732
10.1 sec,35,29.3445751798153,56.3865771637149,5.6734463909414
10.2 sec,35,29.3623822454239,56.3272359699642,5.65542482018472
10.3 sec,35,29.3799791413496,56.2693437114137,5.63761775457606
10.4 sec,35,29.3973701100408,56.2128688568878,5.62002085865037
10.5 sec,35,29.4145593029343,56.1577805557082,5.60262988995924
10.6 sec,35,29.4315507824178,56.1040486230159,5.5854406970657
10.7 sec,35,29.4483485237491,56.0516435254116,5.5684492175822
10.8 sec,35,29.4649564169347,56.0005363669048,5.55165147625088
10.9 sec,35,29.4813782685674,55.9506988751662,5.53504358306531
11 sec,35,29.4976178036245,55.9021033880764,5.51862173143265
11.1 sec,35,29.5136786672273,55.8547228405651,5.50238219637553
11.2 sec,35,29.5295644263626,55.8085307517338,5.48632133277267
11.3 sec,35,29.5452785715665,55.7635012122564,5.47043557363742
11.4 sec,35,29.5608245185732,55.7196088720512,5.45472142843346
11.5 sec,35,29.5762056099266,55.6768289282193,5.4391754814268
11.6 sec,35,29.5914251165587,55.635137113243,5.42379439007336
11.7 sec,35,29.6064862393327,55.594509683438,5.40857488344129
11.8 sec,35,29.6213921105538,55.5549234076558,5.39351376066727
11.9 sec,35,29.6361457954465,55.5163555562292,5.37860788944623
12 sec,35,29.6507502936011,55.4787838901556,5.36385420455349
12.1 sec,35,29.6652085403879,55.4421866505149,5.34924970639891
12.2 sec,35,29.6795234083418,55.4065425481144,5.33479145961208
12.3 sec,35,29.6936977085165,55.3718307533579,5.32047659165815
12.4 sec,35,29.7077341918097,55.3380308863326,5.30630229148346
12.5 sec,35,29.7216355502595,55.3051230071104,5.29226580819033
12.6 sec,35,29.7354044183135,55.2730876062579,5.2783644497405
12.7 sec,35,29.7490433740695,55.2419055955514,5.26459558168652
12.8 sec,35,29.7625549404906,55.2115582988918,5.25095662593046
12.9 sec,35,29.7759415865928,55.182027443416,5.23744505950939
13 sec,35,29.7892057286084,55.1532951507992,5.22405841340716
13.1 sec,35,29.8023497311229,55.1253439287457,5.21079427139161
13.2 sec,35,29.8153759081888,55.0981566626624,5.19765026887706
13.3 sec,35,29.8282865244141,55.0717166075124,5.18462409181116
13.4 sec,35,29.8410837960281,55.046007379844,5.17171347558588
13.5 sec,35,29.853769891924,55.0210129499918,5.15891620397191
13.6 sec,35,29.8663469346789,54.996717634446,5.14623010807604
13.7 sec,35,29.8788170015523,54.973106088386,5.13365306532107
13.8 sec,35,29.8911821254622,54.9501632983754,5.12118299844766
13.9 sec,35,29.9034442959409,54.9278745752143,5.10881787453777
14 sec,35,29.9156054600698,54.9062255469459,5.0965557040591
14.1 sec,35,29.9276675233944,54.8852021520136,5.0843945399302
14.2 sec,35,29.9396323508189,54.8647906325663,5.07233247660565
14.3 sec,35,29.9515017674826,54.8449775279074,5.06036764918106
14.4 sec,35,29.9632775596161,54.8257496680855,5.04849823251736
14.5 sec,35,29.9749614753799,54.8070941676235,5.03672244038389
14.6 sec,35,29.9865552256849,54.7889984193821,5.02503852462005
14.7 sec,35,29.9980604849947,54.7714500885569,5.01344477431506
14.8 sec,35,30.0094788921111,54.7544371068036,5.00193951500526
14.9 sec,35,30.0208120509422,54.7379476664911,4.99052110788891
15 sec,35,30.0320615312546,54.7219702150779,4.97918794905778
15.1 sec,35,30.0432288694087,54.7064934496097,4.96793846874536
15.2 sec,35,30.0543155690783,54.6915063113362,4.95677113059131
15.3 sec,35,30.065323101955,54.6769979804435,4.94568443092174
15.4 sec,35,30.0762529084374,54.6629578709002,4.93467689804499
